race,g1classsize,g1treadss,g1tmathss
1,19,571,529
2, , , 
1, , , 
2, , , 
1,22,548,553
3,15,629,578
1,23,548,562
2,25,536,493
2,24,469,535
1, , , 
1,17, , 
1,25,442,484
1, , , 
2, , , 
2, , , 
2,24,524,562
1, , , 
1, , , 
1, , , 
1,21,478,567
2, , , 
2,15,487,497
1, , , 
1,22,590,653
1, , , 
2,29,475,529
1, , , 
1,25,495,481
2, , , 
1,16,490,523
1, , , 
2, , , 
1, , , 
1, , , 
1,21,558,538
1, , , 
2, , , 
2, , , 
2,23,408,461
2,23,524,523
2, , , 
1, , , 
2, , , 
2, , , 
1, , , 
1, , , 
2, , , 
1,22,497,512
1, , , 
 , , , 
3, , , 
2, , , 
1,25,604,542
1, , , 
1,22,571,592
1, , , 
2, , , 
1, , , 
2, , , 
1,22, , 
1, , , 
1, , , 
2,25,509,518
2, , , 
1,25,579,612
2, , , 
1,20,469,495
1,26,629,529
1, , , 
 , , , 
2, , , 
1, , , 
1,22,505,549
1,22,521,505
1, , , 
1, , , 
 ,26, , 
 ,25, , 
1, , , 
1,13,487,497
1, , , 
2, , , 
1,22,536,572
2, , , 
 , , , 
2, , , 
2, , , 
2,29,457,505
1, , , 
2, , , 
1, , , 
1, , , 
2, , , 
1,25,460,490
2, , , 
2, , , 
2, , , 
2,24,509,484
2,19,488,502
2,19,505,535
2,19,553,562
2,22,436,433
1,15,433,477
1, , , 
2, , , 
2, , , 
2, , , 
1,14,501,518
2, , , 
2, , , 
2, , , 
2, , , 
1, , , 
1, , , 
2, , , 
2,24,492,488
2,20,471,535
1,21,519,542
2, , , 
2, , , 
2, , , 
2, , , 
2,23,478,532
2,28,447,477
2, , , 
2,22,474,495
2, , , 
2,23,474,507
2, , , 
2, , , 
2,21,483,507
1,21,629,562
2,23,495,479
2, , , 
1, , , 
1,26,505,493
1,23,527,553
1,22,499,535
2, , , 
2, , , 
1, , , 
1, , , 
1, , , 
2, , , 
1,16,519,545
2, , , 
2, , , 
1,28,512,523
1,27,553,532
2, , , 
2, , , 
2, , , 
2, , , 
2, , , 
2, , , 
2, , , 
2,23,472,526
1, , , 
2,25,471,470
1,23,548,526
2, , , 
1, , , 
1, , , 
1,21,604,592
1,14,579,562
1, , , 
1,24,558,542
1, , , 
1,24,629,584
1, , , 
1,22,553,578
1,25,514,549
1,16,544,542
2,23,451,529
1,23,521,578
1, , , 
1, , , 
1,15,503,523
1, , , 
1,16,507,474
1,26,487,495
2,22, , 
2,25,451,488
1, , , 
1, , , 
2,26,503,523
2,21,530,526
1, , , 
1,15,533,567
2,15,480,495
2,19,463,456
1,23,651,592
2,21,519,515
1,19,471,486
2,17,492,490
1, , , 
2, , , 
1, , , 
2,25,509,470
1, , , 
2,26,431,465
2, , , 
2,25,453,474
5,18, , 
1, , , 
1, , , 
2,21,482,465
1, , , 
2, , , 
1,22, , 
1,21,536,535
1, , , 
1, , , 
2, , , 
1,22,442,465
2,25,477,497
1, , , 
1, , , 
1,23,571,505
1, , , 
2, , , 
2,26, ,461
2,22,466,495
1, , , 
1, , , 
1,26,527,505
 , , , 
2, , , 
2,19,444,463
2, , , 
2, , , 
1, , , 
2, , , 
1,27,548,572
2, , , 
1, , , 
2, , , 
2, , , 
2,25,530,518
1,20,480,484
2,23,444,493
2, , , 
1, , , 
 , , , 
1,26,579,567
2,21,490,526
2, , , 
1, , , 
1,26,474,500
2, , , 
1, , , 
1, , , 
1,19,519,526
2, , , 
1, , , 
2, , , 
2, , , 
2, , , 
 , , , 
2, , , 
2, , , 
1, , , 
1, , , 
2, , , 
1, , , 
2,22,494,529
2,16,571,567
2, , , 
1, , , 
2, , , 
2, , , 
1,29,426,507
1, , , 
1, , , 
2, , , 
1,27,519,512
1, , , 
1, , , 
1,25,454,497
1, , , 
2, , , 
2,14,469,479
1,25,495,562
1,26, ,507
1,26, , 
1,27,533,549
5,21,527,510
1, , , 
1,22, ,465
1,26, ,510
1, , , 
2,14,590,562
1,21,475,518
1,27, , 
1,26,516,520
 , , , 
1,23,490,493
1, , , 
1, , , 
1,26,536,567
1, , , 
1,27,527,545
1,27,553,515
1, , , 
1, , , 
1,15,564,584
1, , , 
1,27, , 
1, , , 
2, , , 
1, , , 
1, , , 
1,16,604,567
1, , , 
1,22,428,425
1,25,553,557
1,22,558,578
1, , , 
1, , , 
1,22,519,523
1,24,468,515
2,19,463,454
2, , , 
1, , , 
2,25,453,465
1, , , 
2, , , 
2,14,590,578
1,24, , 
2,15,477,507
 , , , 
1,22,590,592
1,26,590,507
2,25,499,500
2, , , 
1,25,514,490
 , , , 
1, , , 
1,21, ,461
1, , , 
1, , , 
2, , , 
2, , , 
1,13,524,523
1, , , 
1,28,487,479
1,28,445,474
1, , , 
2,24,482,549
2, , , 
2,25,503,458
1, , , 
2, , , 
1,22, , 
1,22,475,545
2, , , 
2,25,448,486
2,17,436,488
2, , , 
2,24,482,542
2,22,438,439
2,25,456,505
1,29, ,500
1, , , 
1, , , 
2,21,519,477
1, , , 
2,20,442,484
1, , , 
2,24,478,488
2,22,468,512
1, , , 
1, , , 
2, , , 
2,23,436,465
2, , , 
2,14,448,490
1, , , 
2,22,444,510
2,22,469,497
2,24,497,488
2, , , 
2,23,480,532
2,21,436,470
2,17,544,520
2,26,507,562
2,13, ,493
2,22,447,515
1,30, ,553
2,24,509,529
2,26, , 
1,30, , 
2,23,468,497
2,24,483,532
2,24, ,500
2, , , 
1, , , 
1,17,514,495
2,23, ,500
2,16,487,510
1, , , 
1,23,540,562
2, , , 
1,21, ,497
1, , , 
1,17,483,486
1, , , 
2,17,548,601
2, , , 
1,21,490,520
1,20,524,562
1, , , 
2, , , 
1, , , 
1,22,505,549
1,29, , 
1, , , 
1,17,490,493
1,20,571,510
1,22,488,538
1, , , 
2,22,490,493
2,22,495,502
1, , , 
1, , , 
1, , , 
1, , , 
1,19,453,484
2, , , 
1, , , 
1,22,558,549
1,24,527,502
1,23,530,512
1,23,544,526
1, , , 
1,17,459,523
1, , , 
1, , , 
1, , , 
1, , , 
2, , , 
1, , , 
1, , , 
1, , , 
2, , , 
1, , , 
1,23,512,542
1, , , 
1,24,472,507
1, , , 
1, , , 
1,23,540,557
2,22,475,502
1, , , 
1,24,466,505
1, , , 
2, , , 
1, , , 
1, , , 
1, , , 
1, , , 
1, , , 
1,21,501,520
1,22,478,545
2, , , 
1, , , 
1, , , 
1, , , 
1,26,524,502
1, , , 
1, , , 
1,14,421,436
1, , , 
1,16,503,486
1,13,488,523
1,29, ,572
2, , , 
2,25,495,542
2, , , 
1, , , 
2,21,514,505
1,19,501,562
1, , , 
1,21,428,488
 ,30, , 
2,19,558,567
1,23,516,518
1,20,527,505
1,23,451,470
1, , , 
1,24,460,523
1,19,495,584
1,24,469,470
2,21,495,512
1, , , 
2, , , 
1, , , 
2, , , 
2,15,485,500
1,27,501,601
2, , , 
2, , , 
1, , , 
1, , , 
1, , , 
1,13,478,520
1, , , 
2, , , 
1,28,419,446
1,28,456,495
1,23,494,500
1, , , 
1, , , 
1, , , 
1,23,524,512
1, , , 
1,23,503,515
1, , , 
1,30, ,488
1,22,604,601
1,30, ,518
1, , , 
1,27,590,553
1,28,468,463
1, , , 
2,24,533,553
1, , , 
2,27,629,572
2,21,527,538
2, , , 
1,24,564,553
1, , , 
1,23,524,505
1,17,503,518
1, , , 
1,15,475,481
1,27,450,488
1,16,516,477
1, , , 
1,20,499,518
1,23,499,526
1,20,540,502
1,24,488,578
1,27,514,520
1,23,590,523
1, , , 
2,23,425,444
1, , , 
1,20,507,518
1, , , 
1,21,579,592
2,21,487,515
2,23, ,428
1, , , 
2, , , 
1, , , 
1,22,483,535
1,23,460,515
1,22,512,518
1, , , 
1, , , 
1, , , 
1, , , 
2, , , 
1,21,514,549
1, , , 
1,26,441,495
1,26,507,538
1, , , 
2, , , 
1, , , 
1, , , 
1,22, ,510
1,22,472,465
1,24,471,505
2,21,472,495
1, , , 
1,14,503,520
2,26, ,515
2,24,438,486
1,14,516,495
1, , , 
1, , , 
2, , , 
1, , , 
2,22, ,497
2,26,501,529
1,23,505,542
2,19,431,444
2,26,471,507
1, , , 
2, , , 
2,23,487,529
1, , , 
1,28,431,479
2, , , 
1,26,579,484
1,23,441, 
1, , , 
1, , , 
1, , , 
2, , , 
1,20,471,515
1,24,571,512
2, , , 
2, , , 
1, , , 
2, , , 
2,25,468,507
1,30, ,542
1,30, , 
2, , , 
2,21,468,507
1, , , 
1, , , 
2,26, , 
2,21,492,495
2,26, , 
2, , , 
2,25,445,479
1,22,465,538
1, , , 
2, , , 
1,26,485,497
2,21,442,451
1,22,514,572
1, , , 
1,22,505,567
2,17,475,520
2,16,457,477
2,23,487,505
1,28, , 
2,19,530,488
1, , , 
2,22,533,592
1,26, , 
2,24,419,454
1,25,477,520
2, , , 
2, , , 
1, , , 
1, , , 
1,17,530,532
2,21,453,486
2, , , 
2,24,471,502
1,23,472,507
1,22, ,479
2,25,530,549
2, , , 
2, , , 
2,24,487,502
2,25,447,461
2,21,548,557
2,25,465,490
2,24,485,490
1, , , 
2,15,460,529
2,24,485,526
1,23,494,526
2,17,471,542
1, , , 
1,23,494,567
2,18,497,484
1, , , 
1,17,468,510
2,22,456,493
1, , , 
1,26,442,470
1, , , 
1,23,564,584
1, , , 
2,22,492,549
2, , , 
1, , , 
2,26,477,601
2,25, ,422
1, , , 
2,23,492,520
1, , , 
2,22,505,502
2, , , 
1, , , 
2, , , 
1, , , 
2,24,548,578
2,23,553,627
1,26,478,545
1,18,579,553
1,22,558,549
2, , , 
2, , , 
1,24,469,481
1,24,501,562
1,23,536,515
1,22,544,538
2,22,466,505
2, , , 
1, , , 
1,23,604,572
2,17,477,507
2,22,475,502
2,24,471,488
2,24,509,592
1,19, ,454
1,27,494,520
2,26,404,425
2,29,456,515
2,23,428,470
2,15,475,526
1,22, ,479
1, , , 
2,24,488,510
2,19,499,484
2,24,487,497
2,15,466,532
2, , , 
2,28,453,472
1,28,444,479
2,28,441,458
1,23,521,500
1,23,516,553
1, , , 
2,22,457,463
1, , , 
2,24,527,653
2,24,533,545
2,22,475,479
1, , , 
1, , , 
1, , , 
1, , , 
1,22,453,497
1,23,564,557
1, , , 
2,18,483,510
2,24,651,601
2,22,553,515
1,24,540,535
2, , , 
1, , , 
2,29,474,542
1,21,521,562
2, , , 
2, , , 
1,15,629,627
2, , , 
2, , , 
1, , , 
1, , , 
2,24,536,584
2,24,512,500
2,20,540,567
2, , , 
1,24,553,612
1,21,480,518
1,20,629,578
1, , , 
1,16,629,529
1,21,533,592
1, , , 
2,24,463,584
1,22,540,510
2,24,590,562
2, , , 
1,20,512,553
2,20,475,470
1,22,477,484
1,26,509,474
2,22,430,433
2,24,445,526
2,20,428,470
2,25,448,505
1,19,478,512
2, , , 
2,23,465,529
1, , , 
1, , , 
2,22,497,486
2, , , 
1,22,548,612
1,22,475,495
1,15,533,557
1,22,564,512
2,22,417,441
2,15,465,495
2,22,471,515
2,15,536,562
2,17,544,601
2,14,483,507
2,24,483,529
2,25,519,505
2,25,499,545
2,23,441,458
2,22,425,463
2,25,431,470
2,25,456,500
1,26, ,507
1,16,558,592
2,25,503,518
1,17,604,653
1, , , 
1,26,503,538
1,17,512,545
1, , , 
2, , , 
2,20,442,465
2,21,485,535
1,23,482,529
1,14, ,477
1,21,487,567
2,22,451,449
2,19,492, 
2,23,477,490
2,19,480,472
1,14,495,507
1, , , 
2,22,495,545
2, , , 
1, , , 
1, , , 
2,24,439,454
1, , , 
1,24, , 
2, , , 
1,22,553,584
2,25,428,470
2,25,480,493
1,26,516,507
1, , , 
2,25, , 
2,23,445,520
2,23,524,601
1, , , 
2,12,553,578
2, , , 
2,22,450,497
1, , , 
2,14,474,507
1, , , 
2, , , 
2,15,507,505
2, , , 
2,24,450,481
2,17,457,505
2,24,459,512
2,24,433,468
2,22,433,446
2,17,460,481
2,20, ,529
2,24,434,477
1,30, ,529
3,24,485,510
1,17,463,488
1,22,457,497
1, , , 
2, , , 
1, , , 
1, , , 
1,17,456,512
1,23,475,484
1,23,462,456
1, , , 
2, , , 
2,24,451,456
1,23,447,484
1,20,521,510
1, , , 
1,23,459,479
1,23, ,477
1, , , 
1,21,507,578
1,19, , 
2, , , 
2,22,447,472
2,21,463,497
1,21,488,495
1, , , 
2, , , 
1,24,487,505
1,18,468,497
1,15,571,592
2,25,472,515
1,23,505,545
2,17, , 
2,12,474,572
2,24,459,495
1,22,540,562
1,17,495,584
1,26,475,542
1,24,474,484
1,21,499,526
2,23, , 
2,21,426,425
2, , , 
2,15,442,454
1, , , 
1, , , 
1,20,548,505
2, , , 
1,22,499,518
2,19,451,463
2,22,462,465
1,25,495,529
1, , , 
2,26,438,495
1,24,495,532
2, , , 
1,23,604,526
1, , , 
2, , , 
2,25, , 
1,24,509,497
2, , , 
1, , , 
1,24, , 
1, , , 
1,14,499,477
1,23,451,497
1, , , 
1, , , 
2, , , 
1, , , 
1,22, , 
1, , , 
1, , , 
1, , , 
1,25,485,510
1,26,474,627
2,24,465,529
1,21,514,529
1, , , 
2, , , 
2, , , 
2, , , 
2,24,540,535
2,13,519,515
2,17,540,529
2, , , 
2,17,448,505
1, , , 
2,15,536,553
2,17,519,488
2, , , 
2,23,492,490
2,18,579,592
2,21,499,486
2, , , 
2,18,524,557
2,15,488,535
2,24,516,532
2,23,463,535
2,19,459,488
2,21,472,507
2,21,536,505
2,22,471,472
2,15,438,449
2, , , 
2,12,499,553
2,22,494,490
2, , , 
2,26, , 
2, , , 
2,17,492,542
2, , , 
2,20,512,526
2,21,499,518
1, , , 
2,17,507,515
2,24,590,584
2,25,553,567
2,16,494,542
2,19,463,461
2,21,469,502
2, , , 
2,23, ,627
2,24,487,510
2,13,471,470
2,19,590,535
2, , , 
2,15,492,512
2,24,490,495
1, , , 
2,16,571,578
2,22,478,507
2,21,571,535
2,21,530,567
2,16,509,578
2,16,516,529
2,23,441,463
2,23,564,627
2,19,472,538
2, , , 
2,23,483,523
1,24,450,444
1,24,548,518
2, , , 
1, , , 
1,27,564,553
2, , , 
2,22,509,526
1, , , 
2, , , 
2, , , 
2, , , 
2,25,434,493
1,17,571,538
2, , , 
2,24,453,474
1, , , 
1, , , 
2,22,471,474
2,23,527,584
2, , , 
2,23,471,486
2, , , 
2,24,548,557
1, , , 
1,15, , 
2,17,604,584
1,16, , 
2, , , 
2, , , 
2, , , 
2,17, , 
2,21,530,549
2,26,488,495
2, , , 
2, , , 
2, , , 
1, , , 
1,25,462,490
2,25,503,572
2,24,571,529
1,20,477,535
2, , , 
1,16,553,529
2, , , 
1, , , 
2,22,501,520
2,25,501,505
2,25,468,468
2,26,434,484
2, , , 
2,17,540,526
2,25,463,495
2, , , 
1,26,457,468
1,20,501,572
2, , , 
1, , , 
2,17,439,472
2,18,579,584
2,16,466,481
1,25,497,538
1,30, ,505
1,25, ,490
2,20,468,507
1,21,533,532
1,22,492,505
1,30, ,518
1,24,439,470
2,23,485,526
2,21,457,465
2, , , 
1,25,462,512
1,21,571,567
2, , , 
2,20,571,532
2, , , 
2,17,495,510
1, , , 
2, , , 
2,24,507,497
2,22,558,542
2,22,483,515
1, , , 
2, , , 
2,24,590,572
2,19,524,526
2,24,512,553
1,26,501,553
1,23,495,538
2, , , 
1,17,495,495
1,24,488,545
2,22,454,472
2,17,423,458
1,16,495,520
1, , , 
1,15,499,538
1, , , 
2, , , 
1,15,482,518
1,25,512,584
1,26,487,520
1,24,540,567
2,20,629,572
1,23,512,592
1,23,488,484
1,24,540,562
1, , , 
1, , , 
1, , , 
1, , , 
1,15,425,488
1,22,477,481
1,22,457,490
1,22, , 
1,23,465,538
2, , , 
1,23,451,523
2,21,579,515
1,22,521,549
2,16,505,518
2, , , 
1,28,507,535
1, , , 
1, , , 
1, , , 
1, , , 
1,22,459,497
1,24,571,578
1, , , 
1, , , 
1,23,536,545
1,28,497,502
1, , , 
1,23,548,601
2, , , 
2,28,558,479
1,23,544,502
2,21,453,505
2,22,527,505
1, , , 
1,26, ,463
2, , , 
2,15, ,481
2,20,533,502
1,17,503,490
1,26,512,532
1,24,495,515
1,21,590,557
1,22,651,627
1,21,507,578
1,20,460,502
1,30, ,562
1,23,558,510
1,21, , 
1, , , 
1,17,507,584
1, , , 
1,23,533,538
1,20,430,481
1,17,553,553
1,24,629,653
1,26,509,518
1,23,439,486
1,24,514,481
1,26,533,567
1,26,519,515
1,17,495,481
1, , , 
1, , , 
1, , , 
1,22,495,512
1,21,477,486
1, , , 
1, , , 
1,25,463,502
1,25,433,488
1,22,536,526
2, , , 
2, , , 
1, , , 
1, , , 
2,22,514,535
1,23,590,542
1,23,483,526
1,23,477,557
2, , , 
1,13,487,512
1,14,651,612
1,21,524,510
1,23,512,523
2, , , 
1, , , 
1, , , 
1,20,579,567
2,22,514,535
1,28, ,545
2,28,497,495
1,23,466,502
1, , , 
1,21,480,515
1,13, ,449
1, , , 
1,23,445,479
1, , , 
1,21,564,612
1,21,507,549
1, , , 
1,28, , 
1, , , 
2,28,453,472
2,28,553,532
2, , , 
1, , , 
1, , , 
1,23,521,557
1, , , 
1, , , 
1,13,492,518
1,21, , 
1,22,507,512
1,21,497,557
1,30, ,461
1,13,475,465
1, , , 
1,30, ,542
1,23,521,526
1,17,558,653
1,24,540,532
2, , , 
2, , , 
1, , , 
1,27,558,612
2, , , 
1,26,564,526
1,16,553,545
2,17, , 
1,23,494,532
1,26,579,545
2,21,457,500
1,24,499,542
1, , , 
1,23,536,601
1,26,505,486
1, , , 
1,21,469,505
1,27,456,465
1,26,441,474
1,26,483,526
2,23,516,520
1,26,436,441
1, , , 
1,14,441,518
1,22,530,529
1, , , 
2, , , 
1, , , 
1, , , 
1,14,430,444
1,26, ,472
1,26,466,557
1, , , 
1,21,536,529
1, , , 
1, , , 
1, , , 
2, , , 
1,23,492,529
2,17,453,505
1,20,524,538
1, , , 
1,23,533,567
1, , , 
2, , , 
1,28,442,472
1,28,571,532
2,28,436,461
2, , , 
1,24,524,557
1,20, ,532
1,21,497,507
1,23,519,529
1,22,466,518
1, , , 
1,21,466,545
2,21,460,532
1, , , 
1,19,469,510
1, , , 
1,22,444,512
1,24,629,557
1, , , 
2,15,524,578
2,21,417,449
1,21,512,510
1, , , 
1,21,474,502
1, , , 
1,20,490,505
1,24,497,549
1, , , 
1,24, ,520
2, , , 
1,21,590,542
1,15,456,441
1, , , 
1,22,553,562
1,22,457,518
1,23,590,532
1, , , 
1, , , 
1, , , 
1,19, ,553
1, , , 
1,26,439,439
1,27,463,512
1,26,477,512
1,23,499,557
2,22,548,572
2,23,530,553
1, , , 
1, , , 
2,23,460,523
1,21,465,477
1, , , 
1,21,536,538
1,20,579,601
1,23,519,502
2,19,514,468
2,22,483,468
1,17,462,481
1,24, , 
1,21,459,488
1,14,492,535
1, , , 
1,22,516,454
1,22,453,451
1,23,536,535
1,26,548,542
1, , , 
1,24,465,497
2,29, ,507
1,21,527,523
1, , , 
1,19,471,526
1,15,483,520
1,14,488,507
1,21,426,446
1,23,553,567
1,23,505,553
1,22,629,578
1, , , 
2, , , 
1, , , 
1,30, , 
1,21,629,578
1,21,590,538
 ,30, , 
1,19, , 
1,22,499,549
1,23,651,612
2,21,448,484
2,26,499,470
2,19,482,542
2,22,445,463
1,21,465,518
1,21,544,553
2,17,495,532
1,24,564,507
1,14,530,545
1,21,499,512
1,17,604,653
1,15,468,518
1,24,468,532
1,13,492,520
1,24,604,584
1,21,521,535
1, , , 
1,22,564,592
1, , , 
1, , , 
1,23,490,512
2, , , 
1,24,651,627
1,24, ,472
1,22,544,535
1,18,507,567
2,25, ,449
1,25, ,532
1,17,499,567
1, , , 
1, , , 
1, , , 
1,15,462,535
2, , , 
1,14, ,526
1, , , 
1,17,548,553
1,21,477,474
1, , , 
2, , , 
1,24, , 
1,17,485,529
1,25,463,477
1, , , 
1,19,501,497
1,22,509,553
2,21,558,529
1,22,434,439
1,23, ,507
1,23,553,572
1,23,507,553
1,21,651,532
1,22,519,529
1, , , 
2, , , 
1, , , 
2,23,472,532
1, , , 
1,18,590,584
1,23,514,612
1,21,536,592
2,23,450,468
2,15,454,456
1,14,590,529
1,24,474,490
1,26,445,481
1,17,558,578
1,26,512,562
1,22,530,584
1,14,494,572
1,21,519,538
1, , , 
1, , , 
1, , , 
1, , , 
1, , , 
2,16,571,545
2,23,540,592
2,26,465,441
2,17, ,526
1,22,474,532
1, , , 
1, , , 
1, , , 
1,22,477,465
1,13,524,553
1, , , 
1, , , 
1, , , 
1,22,469,477
1,23,527,538
2,13,516,520
2,21,468,497
 ,27, , 
1,22,509,523
1,21,469,502
1,21,536,538
1,20,521,510
1, , , 
1, , , 
1,17,590,653
1,21,469,510
1, , , 
1,23, ,481
1,22, ,433
1,23, ,515
1, , , 
1,13,564,553
1, , , 
1,22,527,567
2,23, ,502
1, , , 
1,14,564,601
1,14,558,612
1, , , 
1, , , 
1,30, ,572
1,24,604,578
2,16, ,510
1,22,571,572
1,16,629,592
1,24,514,529
2,21,460,542
1,19,553,529
2, , , 
2, , , 
1, , , 
1,17,507,612
 ,19, , 
1,19,495,553
1,20,604,653
1,14,428,477
1,16,604,627
1,17,651,578
1,21,540,510
 ,21,468,515
1,20, ,461
2,20,487,500
1,24,516,545
1,22,540,538
1,14,459,493
1,22,553,601
1,24,501,578
1, , , 
2,21,450,470
1,25,553,572
1,24,651,578
1,16, , 
1, , , 
1,25,651,572
1,17,456,449
1, , , 
1,24,530,557
1,21,512,612
1,16,629,592
1, , , 
1, , , 
1, , , 
1, , , 
1,23,462,505
1,13,530,526
1, , , 
2,24,524,510
1,17,457,488
1,24,492,520
1, , , 
1,26,521,512
1,15,579,676
1, , , 
1,19,447,502
